"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Bmpr1b",1.34750834694939e-182,0.891995677612618,0.804,0.335,2.48103236840322e-178
"Cacna1d",1.79989422864593e-153,-1.0178761309888,0.743,0.936,3.31396525378288e-149
"Itga6",4.74057492498474e-118,-1.1007562704175,0.415,0.744,8.72834655188191e-114
"Kcnq5",2.5124968481095e-117,0.506435145636743,0.997,0.944,4.62600919673921e-113
"Fras1",1.74138817487828e-109,0.614843125069167,0.897,0.652,3.20624390758589e-105
"Gpc6",3.44566300135546e-103,0.562577232825287,0.96,0.72,6.34415471809568e-99
"Dpysl3",8.92597964468392e-100,-0.677723625729259,0.626,0.865,1.6434513721792e-95
"Cdh13",9.30997153851259e-93,0.684516899821566,0.827,0.546,1.71415195967094e-88
"Sema3c",3.5968183326427e-88,0.51734577545419,0.759,0.418,6.62246191406175e-84
"Unc13c",1.52588204711789e-87,0.661767921416813,0.876,0.677,2.80945402515345e-83
"Lef1",1.07090536400637e-82,-0.851117284216042,0.482,0.736,1.97175095620852e-78
"Rasgef1b",1.46004263040683e-81,-0.976410191882082,0.345,0.628,2.68823049110505e-77
"Lrmda",6.78010919736596e-74,-0.673859616238495,0.457,0.729,1.24835370541902e-69
"Frmd4b",1.02860731085747e-66,-0.541964199687454,0.639,0.827,1.89387178075077e-62
"Rora",5.25796005890741e-65,-0.657852961445286,0.828,0.902,9.68095606046033e-61
"Tcf7l2",6.28994257368746e-65,-0.559354134893427,0.654,0.826,1.15810422666734e-60
"Unc5c",2.53177497825426e-62,-0.88520215179805,0.287,0.554,4.66150408996174e-58
"Rspo3",2.09785321851678e-59,-1.15496025533918,0.052,0.311,3.86256734593309e-55
"Mid1",5.80775228896513e-58,0.508604573991332,0.922,0.822,1.06932335144426e-53
"Ctnnd2",7.22559822723026e-57,-0.713829779728272,0.353,0.602,1.33037714559763e-52
"Has2",7.78243731660077e-52,-0.900945005878478,0.131,0.385,1.43290235873253e-47
"Ntm",4.76565860415204e-51,-1.02269854527349,0.196,0.442,8.77453062196473e-47
"Fam49a",1.03502288764488e-47,-0.506242462622012,0.531,0.726,1.90568414073174e-43
"Tgfb2",1.00422728324314e-45,-0.830360720225229,0.325,0.539,1.84898327390727e-41
"Tcf7l1",2.41284286105973e-44,-0.504788842050427,0.382,0.606,4.44252627578318e-40
"Stox2",1.38864900017454e-38,-0.53147069005343,0.632,0.75,2.55678053912136e-34
"Tmem132c",3.15956899972458e-38,-0.589742196683953,0.158,0.371,5.81739844229289e-34
"Slit2",8.27020921518694e-32,-1.22814371014999,0.207,0.395,1.52271092070022e-27
"Gm13481",3.56757181820051e-27,-0.562151041754244,0.327,0.492,6.56861323167077e-23
"Gfpt2",4.24926902906003e-15,-0.579642696749805,0.155,0.264,7.82375413630533e-11
"Trpm3",1.05932996657747e-07,-0.510661510365668,0.229,0.304,0.00195043833446245
