"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Fli1",0,1.60099766324739,0.908,0.046,0
"Eng",0,1.58961279596789,0.937,0.063,0
"Shank3",0,1.49289868874076,0.944,0.047,0
"Fgd5",0,0.977775487226984,0.704,0.019,0
"Arap3",0,0.81969650917728,0.69,0.025,0
"Tie1",4.51624400456162e-308,0.955885104463743,0.775,0.035,8.31530846119885e-304
"Rhoj",3.08626007919757e-301,1.2913183661287,0.803,0.042,5.68242205781857e-297
"Pecam1",7.46672781152485e-283,1.06759766203974,0.803,0.044,1.37477392465796e-278
"Cdh5",2.77518215684585e-275,0.885422135642127,0.627,0.023,5.10966538718458e-271
"Ldb2",8.9708749061587e-262,1.38377019528079,0.725,0.039,1.65171748772194e-257
"Emcn",3.99782706276114e-260,1.52947905631616,0.789,0.051,7.36079918795582e-256
"Samd5",2.85526140595379e-257,0.811009505241483,0.577,0.021,5.25710730064212e-253
"Abi3",4.08329256922208e-250,0.750693298875853,0.549,0.019,7.5181582784517e-246
"Col26a1",1.83727091911007e-247,0.737747241549431,0.486,0.014,3.38278321626545e-243
"Flt1",6.1192290662403e-246,1.75001765549972,0.958,0.096,1.12667245567616e-241
"Ptprb",6.44499374107634e-244,0.979581440541624,0.683,0.036,1.18665224760698e-239
"Klhl4",1.54957332873214e-226,1.05869223223698,0.669,0.038,2.85307441286162e-222
"Stab1",1.67878878365151e-226,0.770104056293968,0.563,0.024,3.09098590845916e-222
"Adgrg6",4.96203320552281e-225,1.63021579624367,0.859,0.078,9.13609553800859e-221
"Nos3",3.97777319378901e-221,0.718610850910033,0.556,0.024,7.32387600440432e-217
"Prex2",1.15011653244515e-216,1.31398192548137,0.887,0.087,2.11759455953801e-212
"Adgrf5",9.64977102128372e-216,0.849049102820866,0.556,0.026,1.77671584043876e-211
"Notch1",3.06639573700133e-215,0.700959482249068,0.549,0.024,5.64584783096686e-211
"Scarf1",4.66288729431417e-209,0.639956431996963,0.514,0.021,8.58530808629125e-205
"Sh2d3c",3.34870023219397e-203,0.773883960035789,0.577,0.03,6.16562686751554e-199
"Ets1",2.39344799907668e-202,0.879120080781919,0.669,0.044,4.40681645589999e-198
"Igf1",4.7433432669633e-201,0.746690596114417,0.437,0.015,8.73344362313282e-197
"Nid1",1.63288677356693e-196,0.745813787075712,0.606,0.036,3.00647112749144e-192
